date;S03;S04
15/05/2023 00:00;0,3;-1
15/05/2023 00:05;1,4;0
15/05/2023 00:10;0,8;-0,1
15/05/2023 00:15;1,4;-1,1
15/05/2023 00:20;1,1;-0,4
15/05/2023 00:25;-1,2;-3,4
15/05/2023 00:30;1,4;0,7
15/05/2023 00:35;1;0,5
15/05/2023 00:40;0,2;-1,4
15/05/2023 00:45;0,8;-0,3
15/05/2023 00:50;1,3;1
15/05/2023 00:55;1,4;1,1
15/05/2023 01:00;-1,6;-3,5
15/05/2023 01:05;0,9;0,8
15/05/2023 01:10;-1,1;-3
15/05/2023 01:15;0,5;-1,2
15/05/2023 01:20;1,2;0,6
15/05/2023 01:25;0,6;-1,3
15/05/2023 01:30;1,1;-1
15/05/2023 01:35;0,5;-0,3
15/05/2023 01:40;1,3;0
15/05/2023 01:45;0,3;-1,5
15/05/2023 01:50;0,2;-0,9
15/05/2023 01:55;0,8;-1,2
15/05/2023 02:00;1,4;1,1
15/05/2023 02:05;0,3;-1,5
15/05/2023 02:10;1,3;0,2
15/05/2023 02:15;0,8;-0,9
15/05/2023 02:20;0,6;-2,2
15/05/2023 02:25;1,7;0,9
15/05/2023 02:30;-1;0,9
15/05/2023 02:35;-0,4;-2,7
15/05/2023 02:40;1,3;1
15/05/2023 02:45;0,3;-1,7
15/05/2023 02:50;-0,1;-1,5
15/05/2023 02:55;0,7;-0,9
15/05/2023 03:00;1,5;1,2
15/05/2023 03:05;0,2;-1,6
15/05/2023 03:10;1,5;1
15/05/2023 03:15;0,4;-1,6
15/05/2023 03:20;0,6;0,3
15/05/2023 03:25;0;-2,4
15/05/2023 03:30;1,1;0,9
15/05/2023 03:35;1;-0,4
15/05/2023 03:40;1,1;0,8
15/05/2023 03:45;0;-2,1
15/05/2023 03:50;0,9;-0,7
15/05/2023 03:55;1,5;0,1
15/05/2023 04:00;-0,7;-2,2
15/05/2023 04:05;1,4;0,4
15/05/2023 04:10;1,9;1,7
15/05/2023 04:15;2,6;2,1
15/05/2023 04:20;3,1;2,6
15/05/2023 04:25;3,6;2,9
15/05/2023 04:30;4,3;4
15/05/2023 04:35;4,8;5,3
15/05/2023 04:40;5,3;5,6
15/05/2023 04:45;5,6;5,9
15/05/2023 04:50;5,1;3,3
15/05/2023 04:55;2,3;-0,4
15/05/2023 05:00;1,4;0,1
15/05/2023 05:05;1,2;-0,3
15/05/2023 05:10;0;-1,9
15/05/2023 05:15;0,1;-2,3
15/05/2023 05:20;1,5;1,2
15/05/2023 05:25;0;-1,9
15/05/2023 05:30;1,3;1,2
15/05/2023 05:35;1;-0,5
15/05/2023 05:40;0,2;-0,7
15/05/2023 05:50;1,8;0,3
15/05/2023 05:55;1;-0,8
15/05/2023 06:00;1,1;-0,1
15/05/2023 06:05;0,7;-0,8
15/05/2023 06:10;1,5;0,1
15/05/2023 06:15;1,2;-0,8
15/05/2023 06:20;1,4;-0,6
15/05/2023 06:25;0,8;-1,1
15/05/2023 06:30;0,5;-1,8
15/05/2023 06:35;-0,2;-2,1
15/05/2023 06:40;0,4;-1,1
15/05/2023 06:45;0,6;-1,5
15/05/2023 06:50;-0,7;-2,3
15/05/2023 06:55;0,5;-0,6
15/05/2023 07:00;1,2;0,7
15/05/2023 07:05;1,5;-0,3
15/05/2023 07:10;0,8;-1,9
15/05/2023 07:15;1,1;-0,2
15/05/2023 07:20;1,7;1
15/05/2023 07:25;1;-0,3
15/05/2023 07:30;1,3;0,9
15/05/2023 07:35;1,2;0,1
15/05/2023 07:40;1,2;-0,3
15/05/2023 07:45;0,6;-0,5
15/05/2023 07:50;0,9;0,5
15/05/2023 07:55;1,2;-1,1
15/05/2023 08:00;0,5;-0,8
15/05/2023 08:05;1,2;0,9
15/05/2023 08:15;0,6;0,5
15/05/2023 08:20;0,9;0,2
15/05/2023 08:25;1,3;0,2
15/05/2023 08:30;1,4;-0,3
15/05/2023 08:35;0,6;-1,9
15/05/2023 08:40;0,5;-0,6
15/05/2023 08:45;1,3;0,9
15/05/2023 08:50;0,8;-2,1
15/05/2023 08:55;0,9;0,3
15/05/2023 09:00;-0,3;-2
15/05/2023 09:05;1;-0,2
15/05/2023 09:10;1,1;-1
15/05/2023 09:15;1;-0,5
15/05/2023 09:20;0,4;-1,5
15/05/2023 09:25;0,4;-1,6
15/05/2023 09:30;1,4;1
15/05/2023 09:35;0,6;-1,7
15/05/2023 09:45;1,5;0,9
15/05/2023 09:50;0,6;-1,8
15/05/2023 09:55;0,6;-1
15/05/2023 10:00;1,4;0,9
15/05/2023 10:05;0,2;-1,8
15/05/2023 10:10;0,9;0,7
15/05/2023 10:15;1,4;1
15/05/2023 10:20;1,7;1,2
15/05/2023 10:25;2,1;1,7
15/05/2023 10:30;2,5;2
15/05/2023 10:35;3;2,5
15/05/2023 10:40;3,4;2,9
15/05/2023 10:45;3,6;3,1
15/05/2023 10:50;4,2;2,3
15/05/2023 10:55;1,7;-0,9
15/05/2023 11:00;0,8;-0,2
15/05/2023 11:05;0,5;-0,3
15/05/2023 11:10;0,6;0,3
15/05/2023 11:15;0,1;-1,6
15/05/2023 11:20;-0,1;-2
15/05/2023 11:25;1,2;-0,1
15/05/2023 11:30;0,8;0,7
15/05/2023 11:35;0,8;0,3
15/05/2023 11:40;1,6;1
15/05/2023 11:45;1;-1,5
15/05/2023 11:50;1,2;0,2
15/05/2023 11:55;1,6;0,6
15/05/2023 12:00;1,2;-0,2
15/05/2023 12:10;1;0
15/05/2023 12:15;0,3;-1,3
15/05/2023 12:20;0,6;-1,1
15/05/2023 12:25;1,2;0,5
15/05/2023 12:30;0,6;-0,9
15/05/2023 12:35;1,4;1
15/05/2023 12:40;0,7;-1,8
15/05/2023 12:45;0,8;0,6
15/05/2023 12:50;1,5;1,1
15/05/2023 12:55;0,1;-1,2
15/05/2023 13:00;0,3;-1,2
15/05/2023 13:05;1,2;-0,1
15/05/2023 13:10;1,5;-0,8
15/05/2023 13:15;0,4;-1,5
15/05/2023 13:20;0,3;-0,7
15/05/2023 13:25;1,3;1,1
15/05/2023 13:30;1,3;0,2
15/05/2023 13:35;0,7;-1,1
15/05/2023 13:40;1,2;0,9
15/05/2023 13:45;1,7;1,1
15/05/2023 13:50;1,2;-0,7
15/05/2023 13:55;1,5;0,2
15/05/2023 14:00;1,7;0,9
15/05/2023 14:05;0,6;-1,5
15/05/2023 14:10;0,6;-1,1
15/05/2023 14:15;-0,2;-1,5
15/05/2023 14:20;1;0,9
15/05/2023 14:25;1,5;0,3
15/05/2023 14:30;0,2;-2,3
15/05/2023 14:35;1,2;0,2
15/05/2023 14:40;1,4;-0,6
15/05/2023 14:45;1;0,4
15/05/2023 14:50;1,5;1,1
15/05/2023 14:55;0,1;-1,9
15/05/2023 15:00;0,6;-1,2
15/05/2023 15:05;0,9;-1,4
15/05/2023 15:10;0,3;-2,1
15/05/2023 15:15;1;-0,3
15/05/2023 15:20;1,1;0,2
15/05/2023 15:25;1,3;-1,1
15/05/2023 15:30;0,8;-1
15/05/2023 15:35;1,1;-0,7
15/05/2023 15:40;0,8;-0,9
15/05/2023 15:45;-0,3;-2,2
15/05/2023 15:50;1;-2,2
15/05/2023 15:55;0,2;-1,8
15/05/2023 16:00;1,2;0
15/05/2023 16:05;0,5;-1,3
15/05/2023 16:10;0,8;-1,1
15/05/2023 16:15;1,3;1
15/05/2023 16:20;1,8;1,5
15/05/2023 16:25;2,3;1,9
15/05/2023 16:30;2,8;2,3
15/05/2023 16:35;3,3;2,8
15/05/2023 16:40;3,7;3,3
15/05/2023 16:45;4,1;4,3
15/05/2023 16:50;4,6;5,2
15/05/2023 16:55;4,7;3,9
15/05/2023 17:00;3;1,2
15/05/2023 17:05;1,3;0
15/05/2023 17:10;1,2;0,6
15/05/2023 17:15;2;0,9
15/05/2023 17:20;0,2;-1,7
15/05/2023 17:25;-0,5;-2,5
15/05/2023 17:30;1,6;-0,5
15/05/2023 17:35;0,7;-1,1
15/05/2023 17:40;0,7;-0,6
15/05/2023 17:45;0,7;-0,6
15/05/2023 17:50;-0,1;-1,8
15/05/2023 17:55;0,8;0,5
15/05/2023 18:00;1;-1,1
15/05/2023 18:05;0,8;0,2
15/05/2023 18:10;0,8;-0,5
15/05/2023 18:15;1,1;0,5
15/05/2023 18:20;1,4;-0,4
15/05/2023 18:25;0,8;-5
15/05/2023 18:35;0,7;-0,9
15/05/2023 18:40;0,2;-1,4
15/05/2023 18:45;0,7;-1,8
15/05/2023 18:50;0,5;-0,9
15/05/2023 18:55;0,6;-1
15/05/2023 19:00;1,1;-0,4
15/05/2023 19:05;1;-1
15/05/2023 19:10;0,9;-0,7
15/05/2023 19:15;1;-0,8
15/05/2023 19:20;1,6;0,1
15/05/2023 19:25;0,9;-1,1
15/05/2023 19:30;0,9;0,1
15/05/2023 19:35;1,6;0
15/05/2023 19:40;1,2;0,5
15/05/2023 19:45;1,3;-0,2
15/05/2023 19:50;-0,4;-1,9
15/05/2023 19:55;0,8;-0,8
15/05/2023 20:00;1,9;0,5
15/05/2023 20:05;1,7;-0,2
15/05/2023 20:10;1,6;-0,3
15/05/2023 20:15;2,1;0,3
15/05/2023 20:20;0,2;-2
15/05/2023 20:25;1,1;0,1
15/05/2023 20:30;1,4;-0,7
15/05/2023 20:35;1;-0,4
15/05/2023 20:40;0,8;-1,2
15/05/2023 20:45;1,1;-0,1
15/05/2023 20:50;1,8;0,3
15/05/2023 20:55;1,3;-0,8
15/05/2023 21:00;2,1;0,8
15/05/2023 21:05;0;-2,7
15/05/2023 21:10;1,3;0,9
15/05/2023 21:15;0,2;-2,3
15/05/2023 21:20;1,3;0,6
15/05/2023 21:25;0,5;-2,3
15/05/2023 21:30;0,7;-1
15/05/2023 21:35;1,1;-0,7
15/05/2023 21:40;1,3;-0,9
15/05/2023 21:45;1;-1,1
15/05/2023 21:50;1,3;-0,9
15/05/2023 21:55;0,9;0,1
15/05/2023 22:00;1,3;-0,4
15/05/2023 22:05;0,5;-0,4
15/05/2023 22:10;0,5;0,3
15/05/2023 22:15;1,2;1
15/05/2023 22:20;2,3;1,9
15/05/2023 22:25;2,6;2,1
15/05/2023 22:30;3;2,5
15/05/2023 22:40;3,6;3
15/05/2023 22:45;4,2;3,9
15/05/2023 22:50;3,9;1,2
15/05/2023 22:55;1,8;-0,5
15/05/2023 23:00;1,5;-0,2
15/05/2023 23:05;0,9;0,4
15/05/2023 23:10;1,1;-0,7
15/05/2023 23:15;1,2;-0,3
15/05/2023 23:20;1,7;0,7
15/05/2023 23:25;1,3;-0,2
15/05/2023 23:30;1,5;-0,7
15/05/2023 23:35;1;-0,7
15/05/2023 23:40;0,5;-1,5
15/05/2023 23:45;1,7;-0,2
15/05/2023 23:50;1,2;-0,2
15/05/2023 23:55;0,9;-1
16/05/2023 00:00;0,3;-2,6
16/05/2023 00:05;0,9;-0,7
16/05/2023 00:10;1,6;0,9
16/05/2023 00:15;1,1;-1,3
16/05/2023 00:20;1,8;0,9
16/05/2023 00:25;0,8;-1,6
16/05/2023 00:30;0,9;-1,4
16/05/2023 00:35;1,7;1,1
16/05/2023 00:40;0,4;-2,1
16/05/2023 00:45;1,1;0,4
16/05/2023 00:50;1,5;-0,6
16/05/2023 00:55;0,8;-1,5
16/05/2023 01:00;0,9;-1,4
16/05/2023 01:05;0,9;0,6
16/05/2023 01:10;0,6;-1,6
16/05/2023 01:15;1,5;0,6
16/05/2023 01:20;1,6;-1,2
16/05/2023 01:25;1,1;-0,8
16/05/2023 01:30;1,8;0,8
16/05/2023 01:35;1,4;0,1
16/05/2023 01:40;1,3;0,8
16/05/2023 01:45;1,4;-1
16/05/2023 01:50;0,1;-1,5
16/05/2023 01:55;1,2;0,8
16/05/2023 02:00;0,9;-1
16/05/2023 02:05;0,8;-0,4
16/05/2023 02:10;1,3;0,3
16/05/2023 02:15;1,7;0,1
16/05/2023 02:20;0,3;-1,9
16/05/2023 02:25;0,1;-1,9
16/05/2023 02:30;1,6;0,7
16/05/2023 02:35;0,7;-1,8
16/05/2023 02:40;1,1;-0,6
16/05/2023 02:45;1,7;1,1
16/05/2023 02:50;1,1;-0,9
16/05/2023 02:55;1,2;-0,4
16/05/2023 03:00;1,6;-0,7
16/05/2023 03:05;0,7;-1,6
16/05/2023 03:10;1,3;0,7
16/05/2023 03:15;1,7;-0,6
16/05/2023 03:20;0,8;-1
16/05/2023 03:25;1,9;0,2
16/05/2023 03:30;1,1;-2,2
16/05/2023 03:35;1,3;-0,3
16/05/2023 03:40;1,2;-2,2
16/05/2023 03:45;1,5;0,6
16/05/2023 03:50;0,6;-2,3
16/05/2023 03:55;1,3;0,1
16/05/2023 04:00;1,8;1
16/05/2023 04:05;0,7;-1,9
16/05/2023 04:10;0;-2,2
16/05/2023 04:15;0,8;0
16/05/2023 04:20;1,2;0,9
16/05/2023 04:25;1,6;1,2
16/05/2023 04:30;1,9;1,3
16/05/2023 04:35;2,3;1,7
16/05/2023 04:40;2,5;1,9
16/05/2023 04:45;2,7;2,2
16/05/2023 04:50;3,1;2,7
16/05/2023 04:55;3,5;2,3
16/05/2023 05:00;1,5;-0,7
16/05/2023 05:05;2;0,3
16/05/2023 05:10;1;-1,7
16/05/2023 05:15;1;-1,3
16/05/2023 05:20;0,8;-1,4
16/05/2023 05:25;0,6;-0,1
16/05/2023 05:30;0,8;-1,1
16/05/2023 05:35;0,8;-0,5
16/05/2023 05:40;1,5;1,1
16/05/2023 05:45;0,3;-1,2
16/05/2023 05:50;1,1;0,3
16/05/2023 05:55;1,6;0,6
16/05/2023 06:00;0,3;-1,2
16/05/2023 06:05;1;0,9
16/05/2023 06:10;1,5;1,1
16/05/2023 06:15;1,1;-0,2
16/05/2023 06:20;0,5;-1,4
16/05/2023 06:25;1,1;0,1
16/05/2023 06:30;0,9;-1
16/05/2023 06:35;0,2;-0,9
16/05/2023 06:40;1,4;-0,4
16/05/2023 06:45;0,3;-1,9
16/05/2023 06:50;0,5;-0,9
16/05/2023 06:55;1;0,5
16/05/2023 07:00;1;-1,8
16/05/2023 07:05;0,7;-0,1
16/05/2023 07:10;1,1;0,8
16/05/2023 07:15;1,5;0
16/05/2023 07:20;1,2;0,6
16/05/2023 07:25;1,3;0,6
16/05/2023 07:30;1,7;0,7
16/05/2023 07:35;1;-0,8
16/05/2023 07:40;1,6;0,3
